motif_name	tf
GATA19(C2C2gata)/colamp-GATA19-DAP-Seq(GSE60143)/Homer	GATA19
NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer	NFE2
Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)/Homer	PAX8
AT1G71450(AP2EREBP)/col-AT1G71450-DAP-Seq(GSE60143)/Homer	AT1G71450
JKD(C2H2)/col-JKD-DAP-Seq(GSE60143)/Homer	JKD
MGP(C2H2)/colamp-MGP-DAP-Seq(GSE60143)/Homer	MGP
AT3G16280(AP2EREBP)/colamp-AT3G16280-DAP-Seq(GSE60143)/Homer	AT3G16280
AT1G12630(AP2EREBP)/colamp-AT1G12630-DAP-Seq(GSE60143)/Homer	AT1G12630
MYB41(MYB)/col-MYB41-DAP-Seq(GSE60143)/Homer	MYB41
ERF10(AP2EREBP)/col-ERF10-DAP-Seq(GSE60143)/Homer	ERF10
AT5G56840(MYBrelated)/colamp-AT5G56840-DAP-Seq(GSE60143)/Homer	AT5G56840
At5g66730(C2H2)/colamp-At5g66730-DAP-Seq(GSE60143)/Homer	At5g66730
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer	MYC
At4g36780(BZR)/col-At4g36780-DAP-Seq(GSE60143)/Homer	At4g36780
PIF7(bHLH)/col-PIF7-DAP-Seq(GSE60143)/Homer	PIF7
At1g78700(BZR)/col-At1g78700-DAP-Seq(GSE60143)/Homer	At1g78700
DEAR3(AP2EREBP)/colamp-DEAR3-DAP-Seq(GSE60143)/Homer	DEAR3
At4g16750(AP2EREBP)/col-At4g16750-DAP-Seq(GSE60143)/Homer	At4g16750
Unknown1(NR/Ini-like)/Drosophila-Promoters/Homer	Unknown1(NR/Ini-like)
bHLH34(bHLH)/colamp-bHLH34-DAP-Seq(GSE60143)/Homer	bHLH34
At5g47390(MYBrelated)/col-At5g47390-DAP-Seq(GSE60143)/Homer	At5g47390
At5g58900(MYBrelated)/colamp-At5g58900-DAP-Seq(GSE60143)/Homer	At5g58900
IDD2(C2H2)/colamp-IDD2-DAP-Seq(GSE60143)/Homer	IDD2
p63(p53)/Keratinocyte-p63-ChIP-Seq(GSE17611)/Homer	TP63
CRF4(AP2EREBP)/colamp-CRF4-DAP-Seq(GSE60143)/Homer	CRF4
